crop_type,avg_temp,humidity_avg,storage_hours,violation_duration,base_price,quality_score,final_price
Banana,13.727,33.5535,137.707,194.4771,74.8241,38.9256,29.1257
Banana,42.5357,32.2281,193.4983,51.7159,71.8555,42.071,30.2303
Banana,31.5997,91.5629,182.6785,261.7184,18.6179,17.9105,3.3345
Banana,24.9329,32.4592,37.7821,183.9349,93.0315,48.9164,45.5076
Banana,2.8009,34.4755,36.6706,47.1612,61.1625,60.9182,37.2591
Banana,2.7997,78.3458,65.0937,288.7014,42.7353,26.7196,11.4187
Banana,-2.0958,50.4766,87.2969,155.5096,78.0885,46.2991,36.1543
Banana,38.3088,79.904,98.6209,21.8695,33.1629,62.2405,20.6407
Banana,25.0558,15.883,163.4476,188.0499,72.4159,28.2019,20.4226
Banana,30.4036,53.8814,14.5466,75.9597,13.574,75.4483,10.2414
Banana,-3.9708,13.0252,9.2868,241.108,85.5467,15.7294,13.456
Banana,43.4955,15.6388,94.6666,245.3466,50.3354,10.2116,5.14
Banana,36.6221,91.5794,167.6221,293.6842,67.3024,10.2923,6.9269
Banana,5.617,22.5321,47.231,150.5609,29.9114,39.6502,11.8599
Banana,4.0912,57.9179,154.3196,136.4871,70.9366,53.2051,37.7419
Banana,4.1702,46.9986,63.0989,226.0427,79.5016,40.581,32.2626
Banana,10.2121,41.2609,212.7746,39.7412,52.5892,57.9431,30.4718
Banana,21.2378,90.985,215.0699,164.0747,65.5954,38.602,25.3211
Banana,16.5973,11.9641,72.0516,163.8743,51.0693,38.111,19.463
Banana,9.5615,69.7411,55.9685,26.8419,90.4682,77.3008,69.9326
Banana,25.5926,96.7055,99.3016,125.3952,54.8082,46.7492,25.6224
Banana,1.9747,60.4151,58.487,255.9854,85.7628,42.2539,36.2381
Banana,9.6072,94.314,161.6997,256.8461,82.1217,19.6345,16.1242
Banana,13.3181,14.7032,198.4295,29.7713,46.9454,47.1363,22.1284
Banana,17.8035,47.6914,161.869,27.2163,30.7076,73.8257,22.6701
Banana,34.2588,33.4142,198.0198,78.8086,46.5474,44.9786,20.9364
Banana,4.9837,75.7739,95.8811,262.4298,84.3596,31.4877,26.5628
Banana,20.7117,98.3167,38.3598,38.6708,30.4869,67.5712,20.6004
Banana,24.6207,33.0877,177.3703,215.999,57.1993,33.5666,19.1998
Banana,-2.6775,68.8757,87.1534,30.3497,82.5487,65.0079,53.6632
Banana,25.3772,27.8288,161.4337,186.9414,41.813,35.4396,14.8183
Banana,3.5262,60.8797,65.6839,106.8202,67.7989,65.0154,44.0797
Banana,-1.7474,51.7539,20.4139,236.6742,32.1068,40.5202,13.0097
Banana,42.4443,97.4805,238.227,70.1071,19.8352,29.9821,5.947
Banana,43.2816,64.7675,38.3322,191.7605,81.4946,46.6836,38.0446
Banana,35.4199,41.4556,237.2326,70.7048,18.9072,46.9531,8.8775
Banana,10.2307,20.2686,234.5699,214.0981,34.4243,17.4654,6.0124
Banana,-0.1164,23.6122,190.7225,262.1034,86.9598,7.5009,6.5228
Banana,29.2117,30.2785,158.6021,38.0405,41.1822,56.4035,23.2282
Banana,17.0076,32.587,139.0959,259.9787,97.5741,31.0338,30.281
Banana,1.1019,86.5554,207.9983,178.0726,98.1761,25.5975,25.1306
Banana,19.7588,60.5101,70.176,38.1331,34.1448,88.167,30.1045
Banana,-3.2806,57.1052,112.7758,128.2626,13.688,51.3772,7.0325
Banana,40.466,20.3292,149.0342,48.2581,73.4557,40.6633,29.8695
Banana,7.939,87.4126,99.2745,210.1044,50.5888,34.446,17.4258
Banana,28.1261,75.0533,103.1693,227.6604,19.0678,42.0645,8.0208
Banana,10.5856,16.0902,79.938,31.739,73.6771,54.9666,40.4978
Banana,21.0034,73.7052,135.8514,151.842,12.8057,57.3298,7.3415
Banana,22.3355,58.9184,204.2873,244.3875,88.3177,44.4815,39.2851
Banana,4.2427,17.3553,49.1653,280.8489,22.4787,15.7468,3.5397
Banana,43.4792,51.2471,224.3295,154.0554,21.4581,34.9102,7.4911
Banana,33.7566,53.6227,165.6919,285.0838,25.8105,29.1504,7.5239
Banana,41.9749,24.9197,197.7623,160.7067,96.424,21.4449,20.678
Banana,39.7414,95.1128,133.9296,118.2571,72.3852,34.6863,25.1077
Banana,24.895,86.4978,187.3045,254.4609,82.1234,27.0318,22.1995
Banana,41.0937,70.212,4.8719,147.8948,45.7871,54.4239,24.9191
Banana,-0.5754,51.6066,196.5929,141.5708,40.2681,41.5406,16.7276
Banana,4.7991,47.0589,10.5932,147.0937,31.1036,57.1631,17.7798
Banana,-2.7386,68.5876,213.6893,254.0355,53.2583,21.4561,11.4271
Banana,11.2665,59.0889,238.0791,249.5825,59.6646,35.9828,21.469
Banana,14.4339,15.6046,71.2821,121.056,66.8597,45.0489,30.1196
Banana,8.5675,56.1252,51.2661,99.99,33.1407,69.4293,23.0093
Banana,36.4369,82.5763,183.9218,147.5784,95.3789,36.4542,34.7696
Banana,12.8377,51.3316,61.4733,171.8318,25.2783,58.3765,14.7566
Banana,9.0467,14.6761,207.8694,71.5012,96.9088,36.6883,35.5542
Banana,22.1348,80.765,25.5794,238.1865,11.3371,48.0588,5.4485
Banana,2.0462,28.1227,31.1033,145.9448,53.3013,42.1306,22.4562
Banana,35.1098,33.2759,235.0172,100.2137,40.0031,38.0442,15.2189
Banana,-1.2725,24.8236,162.0475,32.0463,50.4211,44.1054,22.2384
Banana,44.3443,39.7194,203.406,71.6535,61.3598,41.3356,25.3635
Banana,33.6122,78.1076,78.5147,284.7844,49.203,29.2468,14.3903
Banana,4.9358,56.7447,162.6796,91.5299,47.3362,59.2516,28.0475
Banana,-4.7239,28.4393,143.0238,50.6578,75.9451,42.2439,32.0822
Banana,35.7731,89.0047,145.1529,138.2018,71.7289,37.6362,26.996
Banana,30.3429,89.1624,164.1253,92.1263,84.9944,47.2793,40.1848
Banana,31.4504,88.3521,138.5108,10.5478,32.4963,61.1654,19.8765
Banana,33.5635,31.4917,103.5459,96.9436,64.8576,49.219,31.9222
Banana,-1.2978,50.6115,66.9455,163.2326,62.6675,47.4882,29.7597
Banana,12.9233,98.6491,184.6909,165.5137,43.2764,31.5469,13.6523
Banana,0.7935,79.4811,55.0791,106.9677,53.7452,52.4946,28.2133
Banana,38.1552,12.4451,166.4727,134.1908,38.2404,23.4965,8.9851
Banana,26.1649,15.8684,56.7665,289.6554,22.766,20.5995,4.6897
Banana,11.5449,51.7538,150.4539,113.2045,29.2421,59.2712,17.3322
Banana,-1.8221,91.8298,179.5517,77.468,19.4962,37.4601,7.3033
Banana,10.5491,58.4832,53.2726,73.0401,71.4763,76.3114,54.5445
Banana,11.2592,54.8031,15.3264,137.3294,69.4655,68.0637,47.2808
Banana,31.4803,19.4926,32.3027,227.856,95.5546,29.7487,28.4263
Banana,26.8779,69.1102,145.8333,61.7965,75.6711,68.0954,51.5285
Banana,39.3606,83.9893,204.0177,212.7888,14.6841,21.8782,3.2126
Banana,18.6107,44.2378,11.7542,6.3449,89.5821,87.5392,78.4194
Banana,0.9797,79.8051,176.4622,125.6799,87.6408,39.9318,34.9965
Banana,30.6622,96.8029,82.5752,232.7595,49.8988,27.8685,13.9061
Banana,33.0393,28.339,115.3683,101.6199,62.7277,46.0995,28.9172
Banana,23.0639,57.0997,222.9974,169.1211,97.847,52.6007,51.4683
Banana,33.5484,35.8424,80.3412,61.4938,57.9074,59.0154,34.1743
Banana,19.6898,81.3569,112.2155,222.5986,91.479,44.5707,40.7728
Banana,21.1366,61.9834,4.2701,15.6837,17.4735,95.2065,16.6359
Banana,16.3771,67.1124,20.5021,255.7628,27.1947,52.8296,14.3668
Banana,-3.729,81.8123,62.8034,59.4589,49.6679,53.9863,26.8139
Banana,0.3946,45.6373,7.6567,262.3194,62.6281,35.7376,22.3818
Banana,-3.4285,92.3581,151.8987,105.7588,83.4605,33.8266,28.2318
Banana,26.8205,57.9726,102.9092,216.8051,98.9436,52.5736,52.0183
Banana,10.7178,24.2159,132.0067,95.7676,44.9966,46.1781,20.7786
Banana,20.4285,72.6309,42.7407,271.7735,14.2674,47.8933,6.8331
Banana,40.3783,81.3935,71.7278,37.9911,82.1054,59.4243,48.7906
Banana,7.4646,38.5086,159.654,53.5559,64.3943,56.2711,36.2354
Banana,15.5191,87.1461,231.7074,147.909,27.8689,39.4047,10.9816
Banana,32.7776,91.5529,13.0496,24.5815,54.5346,66.115,36.0555
Banana,6.4399,34.9214,213.8019,58.7941,76.8079,48.1815,37.0072
Banana,-1.151,98.5169,138.8746,283.1299,79.3371,6.3896,5.0693
Banana,9.4876,22.664,135.7768,292.9469,54.9657,14.3843,7.9064
