crop_type,avg_temp,humidity_avg,storage_hours,violation_duration,base_price,quality_score,final_price
Banana,13.727,33.5535,137.707,194.4771,74.8241,39.061,29.2271
Banana,42.5357,32.2281,193.4983,51.7159,71.8555,35.8339,25.7486
Banana,31.5997,91.5629,182.6785,261.7184,18.6179,16.4269,3.0583
Banana,24.9329,32.4592,37.7821,183.9349,93.0315,49.6973,46.2341
Banana,2.8009,34.4755,36.6706,47.1612,61.1625,56.591,34.6125
Banana,2.7997,78.3458,65.0937,288.7014,42.7353,21.674,9.2625
Banana,-2.0958,50.4766,87.2969,155.5096,78.0885,38.4131,29.9962
Banana,38.3088,79.904,98.6209,21.8695,33.1629,56.9074,18.8721
Banana,25.0558,15.883,163.4476,188.0499,72.4159,30.5913,22.1529
Banana,30.4036,53.8814,14.5466,75.9597,13.574,71.8987,9.7595
Banana,-3.9708,13.0252,9.2868,241.108,85.5467,10.8385,9.272
Banana,43.4955,15.6388,94.6666,245.3466,50.3354,5.2495,2.6423
Banana,36.6221,91.5794,167.6221,293.6842,67.3024,6.8014,4.5775
Banana,5.617,22.5321,47.231,150.5609,29.9114,37.6438,11.2598
Banana,4.0912,57.9179,154.3196,136.4871,70.9366,47.0498,33.3755
Banana,4.1702,46.9986,63.0989,226.0427,79.5016,35.5493,28.2622
Banana,10.2121,41.2609,212.7746,39.7412,52.5892,55.9018,29.3983
Banana,21.2378,90.985,215.0699,164.0747,65.5954,41.2053,27.0288
Banana,16.5973,11.9641,72.0516,163.8743,51.0693,41.5535,21.2211
Banana,9.5615,69.7411,55.9685,26.8419,90.4682,74.0994,67.0364
Banana,25.5926,96.7055,99.3016,125.3952,54.8082,48.1827,26.4081
Banana,1.9747,60.4151,58.487,255.9854,85.7628,35.0853,30.0901
Banana,9.6072,94.314,161.6997,256.8461,82.1217,18.9088,15.5282
Banana,13.3181,14.7032,198.4295,29.7713,46.9454,48.9933,23.0001
Banana,17.8035,47.6914,161.869,27.2163,30.7076,74.1779,22.7783
Banana,34.2588,33.4142,198.0198,78.8086,46.5474,41.9337,19.519
Banana,4.9837,75.7739,95.8811,262.4298,84.3596,27.0585,22.8264
Banana,20.7117,98.3167,38.3598,38.6708,30.4869,71.1182,21.6817
Banana,24.6207,33.0877,177.3703,215.999,57.1993,34.4095,19.682
Banana,-2.6775,68.8757,87.1534,30.3497,82.5487,56.8244,46.9078
Banana,25.3772,27.8288,161.4337,186.9414,41.813,36.5058,15.2642
Banana,3.5262,60.8797,65.6839,106.8202,67.7989,58.5138,39.6717
Banana,-1.7474,51.7539,20.4139,236.6742,32.1068,32.6458,10.4815
Banana,42.4443,97.4805,238.227,70.1071,19.8352,24.7524,4.9097
Banana,43.2816,64.7675,38.3322,191.7605,81.4946,37.8477,30.8438
Banana,35.4199,41.4556,237.2326,70.7048,18.9072,42.6396,8.0619
