crop_type,initial_condition,avg_temp,humidity_avg,storage_hours,violation_duration,base_price,quality_score,final_price
Mango,Ripe,11.9807,11.7399,189.514,208.2594,80.4895,33.4809,26.9486
Orange,Ripe,-3.8967,26.042,156.804,6.6039,36.0327,19.1047,6.8839
Orange,Ripe,44.752,18.4503,143.9011,226.1242,15.6669,0,0
Grape,Raw,41.9632,58.3441,91.8609,176.8201,34.8228,29.114,10.1383
Apple,Semi-Ripe,10.7706,43.6336,133.0867,32.2497,41.0689,52.5071,21.5641
Banana,Semi-Ripe,7.6039,66.8223,117.4071,139.1005,17.4978,75.725,13.2502
Apple,Raw,32.3364,41.7386,25.322,193.9111,46.3284,38.3185,17.7523
Strawberry,Ripe,-1.5572,10.3034,102.2571,118.3106,97.6497,0,0
Orange,Raw,23.2823,76.4531,115.4597,202.8168,51.1319,68.3869,34.9675
Banana,Semi-Ripe,13.1195,39.8905,42.448,249.4145,65.628,61.6771,40.4774
Mango,Semi-Ripe,1.007,59.0013,233.0409,98.3929,44.6275,61.2607,27.3391
Apple,Raw,5.5735,63.1148,223.4271,126.3101,36.6077,71.5241,26.1833
Orange,Semi-Ripe,18.3071,80.5403,106.1489,41.3272,35.6436,73.2734,26.1173
Mango,Raw,38.3392,87.3775,163.2824,89.8469,89.2279,79.7761,71.1825
Apple,Raw,22.836,40.4609,114.69,223.7114,38.3986,41.2089,15.8236
Apple,Ripe,-2.65,50.6255,209.0481,40.6551,26.5815,48.6212,12.9243
Banana,Ripe,44.6857,69.2187,45.7342,162.8147,44.2238,35.8486,15.8536
Mango,Semi-Ripe,37.3143,91.4443,56.2882,73.141,36.1765,72.9987,26.4084
Apple,Raw,22.5305,19.3675,76.2181,221.5211,78.2959,24.9679,19.5488
Banana,Raw,-1.4568,15.9797,216.4105,205.8005,28.5099,40.7432,11.6158
Orange,Raw,23.5893,43.4328,5.0383,88.2816,51.9599,43.1167,22.4034
Orange,Semi-Ripe,7.9235,36.1117,205.1067,207.222,65.8985,37.5556,24.7486
Apple,Ripe,42.0492,43.0064,131.2906,173.2474,42.7123,0,0
Banana,Semi-Ripe,4.5938,53.5868,124.2406,89.9948,14.1235,66.7395,9.426
Mango,Semi-Ripe,-1.3915,43.1408,173.0048,148.3119,69.4555,47.5828,33.0488
Grape,Raw,24.2551,42.6514,191.1464,115.006,49.7224,27.7974,13.8215
Strawberry,Raw,5.4878,24.3871,75.3211,143.1916,90.2815,20.344,18.3669
Grape,Semi-Ripe,5.7312,89.7229,18.5465,117.5168,14.7305,88.2646,13.0018
Strawberry,Raw,44.183,13.4961,236.5014,290.2595,97.6854,0,0
Orange,Raw,27.5624,95.3341,71.2269,126.6979,53.4188,75.7237,40.4506
Mango,Raw,38.7535,33.3873,3.1728,274.7861,79.3368,37.6521,29.8719
Mango,Semi-Ripe,5.5033,50.3972,175.5534,69.0582,95.9277,61.1993,58.7071
Strawberry,Raw,13.7146,20.7577,207.3231,170.6596,76.5812,0,0
Mango,Ripe,39.864,14.1426,94.2502,296.2198,61.7797,0,0
Mango,Semi-Ripe,38.3014,76.8485,117.6472,107.1477,90.3695,61.7906,55.8399
Banana,Raw,11.7334,60.6266,176.647,113.4424,71.704,76.9515,55.1773
Orange,Raw,24.0322,84.7849,197.0299,243.9591,67.2796,73.259,49.2884
Grape,Semi-Ripe,11.7739,23.7181,118.5857,200.9226,77.4593,9.3011,7.2045
Grape,Raw,24.4123,34.0802,207.4953,149.2573,54.2975,17.8635,9.6994
Mango,Raw,4.4071,49.0861,27.4297,239.1673,36.6243,59.8382,21.9153
Grape,Raw,44.2804,23.8969,110.5643,146.6068,76.446,0,0
Apple,Ripe,42.2425,74.3591,183.9527,168.9089,28.9442,7.697,2.2278
Grape,Ripe,31.911,41.9387,233.3817,0.7429,69.0803,0,0
Strawberry,Ripe,8.2355,78.5273,191.1895,197.0033,75.3529,51.4282,38.7527
Apple,Raw,25.4972,30.1043,57.0982,127.9784,98.3829,34.7748,34.2124
Strawberry,Raw,-4.9359,21.1469,90.4026,46.1317,82.9404,1.0021,0.8311
Grape,Ripe,6.3528,34.7043,52.7668,88.3609,40.1752,24.9928,10.0409
Grape,Semi-Ripe,41.605,31.8163,93.7431,104.1153,73.4469,0,0
Mango,Raw,4.8706,29.7165,1.4862,77.6255,51.5057,51.6095,26.5819
Mango,Ripe,40.4718,66.4246,172.8752,56.0967,33.0084,30.7113,10.1373
Orange,Raw,44.1005,16.4758,83.5221,65.1772,39.0207,5.1479,2.0087
Apple,Ripe,14.5319,61.8345,231.2893,15.2417,72.8673,50.6517,36.9086
Mango,Semi-Ripe,37.0085,67.4704,158.3563,27.1009,41.1784,58.0582,23.9075
Strawberry,Raw,-2.0374,28.5819,63.9647,203.1715,60.6011,21.5641,13.0681
Orange,Raw,40.0198,67.2377,105.9327,56.614,76.0181,53.5372,40.6979
Banana,Ripe,24.4723,40.8241,111.0539,157.0186,64.0838,46.4209,29.7482
Apple,Semi-Ripe,25.3066,59.3795,6.7354,39.3916,30.3103,52.8805,16.0283
Strawberry,Raw,17.7724,74.0265,169.214,74.0018,60.8583,59.1655,36.0072
Mango,Ripe,-4.6964,52.6247,200.5554,177.7165,15.5866,35.6817,5.5615
Strawberry,Raw,40.0167,17.5781,221.6927,104.0879,28.5019,0,0
Banana,Ripe,26.0636,73.5476,71.4699,269.1426,84.9549,61.4131,52.1734
